cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;partos_cesareos;PROP_CESAREOS;ANO
171665;1716653;Pequizeiro;TO;2022;5526;Estimativa (Spline);64;46;71.875;2022
171670;1716703;Colméia;TO;2022;8134;Estimativa (Spline);106;71;66.98113207547169;2022
171700;1717008;Pindorama do Tocantins;TO;2022;4421;Estimativa (Spline);62;24;38.70967741935484;2022
171720;1717206;Piraquê;TO;2022;2973;Estimativa (Spline);33;21;63.63636363636363;2022
171750;1717503;Pium;TO;2022;7854;Estimativa (Spline);95;36;37.89473684210527;2022
171780;1717800;Ponte Alta do Bom Jesus;TO;2022;4558;Estimativa (Spline);41;23;56.09756097560976;2022
171790;1717909;Ponte Alta do Tocantins;TO;2022;8218;Estimativa (Spline);104;48;46.15384615384615;2022
171800;1718006;Porto Alegre do Tocantins;TO;2022;3200;Estimativa (Spline);37;23;62.16216216216216;2022
171820;1718204;Porto Nacional;TO;2022;55208;Estimativa (Spline);1025;603;58.829268292682926;2022
171830;1718303;Praia Norte;TO;2022;8694;Estimativa (Spline);91;42;46.15384615384615;2022
171840;1718402;Presidente Kennedy;TO;2022;3608;Estimativa (Spline);33;21;63.63636363636363;2022
171845;1718451;Pugmil;TO;2022;2721;Estimativa (Spline);29;14;48.275862068965516;2022
171850;1718501;Recursolândia;TO;2022;4341;Estimativa (Spline);66;31;46.96969696969697;2022
171855;1718550;Riachinho;TO;2022;4691;Estimativa (Spline);59;31;52.54237288135594;2022
171865;1718659;Rio da Conceição;TO;2022;2205;Estimativa (Spline);24;11;45.83333333333333;2022
171870;1718709;Rio dos Bois;TO;2022;2893;Estimativa (Spline);32;22;68.75;2022
171875;1718758;Rio Sono;TO;2022;6354;Estimativa (Spline);63;32;50.79365079365079;2022
171880;1718808;Sampaio;TO;2022;4891;Estimativa (Spline);82;35;42.68292682926829;2022
171884;1718840;Sandolândia;TO;2022;3416;Estimativa (Spline);63;39;61.904761904761905;2022
171886;1718865;Santa Fé do Araguaia;TO;2022;7725;Estimativa (Spline);121;64;52.892561983471076;2022
171888;1718881;Santa Maria do Tocantins;TO;2022;3501;Estimativa (Spline);47;28;59.57446808510638;2022
171889;1718899;Santa Rita do Tocantins;TO;2022;2412;Estimativa (Spline);27;21;77.77777777777779;2022
171890;1718907;Santa Rosa do Tocantins;TO;2022;4873;Estimativa (Spline);73;32;43.83561643835616;2022
171900;1719004;Santa Tereza do Tocantins;TO;2022;2948;Estimativa (Spline);50;23;46.0;2022
172000;1720002;Santa Terezinha do Tocantins;TO;2022;2524;Estimativa (Spline);35;16;45.714285714285715;2022
172010;1720101;São Bento do Tocantins;TO;2022;5550;Estimativa (Spline);102;50;49.01960784313725;2022
172015;1720150;São Félix do Tocantins;TO;2022;1642;Estimativa (Spline);18;10;55.55555555555556;2022
172020;1720200;São Miguel do Tocantins;TO;2022;12696;Estimativa (Spline);145;69;47.58620689655172;2022
172025;1720259;São Salvador do Tocantins;TO;2022;3051;Estimativa (Spline);38;20;52.63157894736842;2022
172030;1720309;São Sebastião do Tocantins;TO;2022;4869;Estimativa (Spline);62;19;30.64516129032258;2022
172049;1720499;São Valério;TO;2022;3872;Estimativa (Spline);53;35;66.0377358490566;2022
172065;1720655;Silvanópolis;TO;2022;5453;Estimativa (Spline);76;38;50.0;2022
172080;1720804;Sítio Novo do Tocantins;TO;2022;9156;Estimativa (Spline);127;59;46.45669291338583;2022
172085;1720853;Sucupira;TO;2022;1986;Estimativa (Spline);14;10;71.42857142857143;2022
172090;1720903;Taguatinga;TO;2022;16830;Estimativa (Spline);175;101;57.714285714285715;2022
172093;1720937;Taipas do Tocantins;TO;2022;2186;Estimativa (Spline);28;8;28.57142857142857;2022
172097;1720978;Talismã;TO;2022;2817;Estimativa (Spline);28;19;67.85714285714286;2022
172100;1721000;Palmas;TO;2022;319480;Estimativa (Spline);4762;2619;54.99790004199916;2022
172110;1721109;Tocantínia;TO;2022;7748;Estimativa (Spline);170;64;37.64705882352941;2022
172120;1721208;Tocantinópolis;TO;2022;22846;Estimativa (Spline);331;136;41.08761329305136;2022
172125;1721257;Tupirama;TO;2022;1978;Estimativa (Spline);24;16;66.66666666666666;2022
172130;1721307;Tupiratins;TO;2022;2745;Estimativa (Spline);23;10;43.47826086956522;2022
172208;1722081;Wanderlândia;TO;2022;11729;Estimativa (Spline);120;65;54.166666666666664;2022
172210;1722107;Xambioá;TO;2022;11416;Estimativa (Spline);156;89;57.05128205128205;2022
